sample-id	treatment-group
1c4ca381.9cc3.4313.a11e.df350bb73ec9	control
ce5c847c.452d.46fc.96d9.ba2ff164a5ab	control
fadb8582.a342.46ba.8926.98ff97240824	control
c287751e.0263.4fda.8aa2.3b717855e2ee	control
2f79545d.8a5d.4fc5.a0ac.5da133096ee3	control
fa6fda2b.4a99.4231.9325.0d74d8ae451c	control
632924ab.bf85.4b8b.b603.f338294a0d9d	control
ad0865f4.0719.4c22.9a3e.1d5ec2f9ad4c	control
2adb40fd.6824.44f2.b71f.dc73c9f82b16	control
0eb12bd1.4548.4004.8dcd.1a71de8b1df5	control
